step,reward,unseen_states,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
400.0,-0.15250000000000008,8,29,0,13,140,169,0,516.0,17.79310344827586,5.444044684978545,0,2.0,0.5616911464517874,0,0.0,0.9369335726485846,0,0.0,0.561314422186797,13,520.0,0.13003412273581436,13,522.0
405.0,-0.18499999999999986,9,29,0,15,142,171,0,590.0,20.344827586206897,5.181969239008528,1,5.0,0.5166475694423962,0,0.0,0.6407165625603213,1,6.0,0.7356344299387166,13,585.0,0.09023226579888452,15,596.0
410.0,-0.1800000000000001,10,30,0,18,142,172,0,662.0,22.066666666666666,3.020443014640131,2,5.0,0.32373552057117555,2,7.0,0.06561809772458652,0,2.0,0.6860950255869369,14,654.0,0.00047745690363340505,18,668.0
415.0,-0.225,11,32,0,19,142,174,0,744.0,23.25,3.8713059430939953,2,15.0,0.4720579167604526,0,10.0,0.6204647843116656,2,4.0,0.24475993808510718,15,729.0,0.0,19,758.0
420.0,-0.17000000000000012,12,33,0,16,142,175,0,802.0,24.303030303030305,4.827809797639733,0,10.0,0.5101429430758019,0,2.0,0.9468729990462582,1,8.0,0.1222622548326362,15,806.0,0.12150918666171368,16,826.0
425.0,-0.17749999999999982,13,35,0,18,143,178,0,887.0,25.34285714285714,4.4861988261109165,1,4.0,0.6441096746637046,0,0.0,0.2903688471997162,1,9.0,0.7053373745036716,16,884.0,0.09298671935883626,18,897.0
430.0,-0.19999999999999987,14,35,0,20,145,180,0,967.0,27.62857142857143,4.553848121316213,0,0.0,0.8724981452466428,2,5.0,0.32014413458143415,0,2.0,0.9258693389880193,18,970.0,0.08394885878084977,20,977.0
435.0,-0.015000000000000124,15,35,0,17,146,181,0,803.0,22.942857142857143,4.429001297693851,0,0.0,0.7449996863646939,0,7.0,0.5390026801708551,0,0.0,0.8791823688501412,17,976.0,0.01827036567291897,17,983.0
440.0,0.23250000000000015,16,36,0,13,147,183,0,518.0,14.38888888888889,5.047591254762246,0,1.0,0.6456765654323219,0,2.0,0.7614457735701629,0,0.0,0.021904388561854404,13,887.0,0.15549984423108465,13,890.0
445.0,0.4324999999999998,17,34,0,12,149,183,0,455.0,13.382352941176471,5.629122517738672,0,0.0,0.6321132412526681,0,0.0,1.0,1,5.0,0.6724776743293422,11,712.0,0.15325515354480473,12,717.0
450.0,0.34250000000000014,18,31,0,10,152,183,0,472.0,15.225806451612904,5.621482634032973,1,2.0,0.15872359904851407,0,0.0,1.0,0,1.0,0.8698819326549242,9,577.0,0.1705230075930903,10,580.0
455.0,0.019999999999999803,19,31,0,10,154,185,0,522.0,16.838709677419356,7.683419315437646,1,7.0,0.4863650069033795,0,0.0,0.9235025617679546,0,0.0,0.8867284999930221,9,565.0,0.24316183984044276,10,572.0
460.0,-0.04999999999999989,19,29,0,9,157,186,0,560.0,19.310344827586206,6.563781432993054,0,0.0,0.8911034125458304,0,0.0,0.9172624553004844,0,0.0,0.4729154953925516,9,592.0,0.0766341121709593,9,592.0
465.0,-0.15749999999999995,19,28,0,14,161,189,0,621.0,22.178571428571427,5.343483513288021,1,1.0,0.7114670639238715,0,0.0,1.0,1,7.0,0.6305348294839229,12,647.0,0.052378201983525434,14,655.0
