step,reward,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
355.0,-3.5,31,0,14,112,143,0,69.0,2.225806451612903,4.4455109625795375,8,208.0,0.12293704690033369,4,17.0,0.18664890436557594,1,8.0,0.7064696195788462,1,4.0,0.08982551235665726,14,237.0
360.0,-1.25,32,0,5,113,145,0,52.0,1.625,6.315935084616456,4,185.0,0.34816680245317044,1,19.0,0.4720920918316299,0,2.0,0.6536056843691932,0,6.0,0.12965252291482984,5,212.0
365.0,-2.0,34,0,8,114,148,0,77.0,2.264705882352941,6.813540467685202,5,183.0,0.3264943830545826,0,6.0,0.5751505970482508,3,12.0,0.4200343188054167,0,2.0,0.9902503217436185,8,203.0
370.0,-3.0,36,0,12,114,150,0,110.0,3.0555555555555554,5.687078001399821,8,214.0,0.17060217358693475,0,0.0,0.2652791602881979,4,24.0,0.2839702427770503,0,2.0,0.985880934121978,12,240.0
375.0,-2.75,33,0,11,118,151,0,127.0,3.8484848484848486,5.132119925508527,8,236.0,0.16145492977423534,0,0.0,1.0,3,21.0,0.12837048053417735,0,1.0,0.9298369559485749,11,258.0
380.0,-2.25,33,0,9,121,154,0,159.0,4.818181818181818,5.545504007703291,6,239.0,0.2560538305419278,0,0.0,1.0,3,36.0,0.30739100137423775,0,1.0,0.7398724289666456,9,276.0
385.0,-3.25,32,0,13,123,155,0,111.0,3.46875,3.4236234758351305,5,217.0,0.1581289655152332,0,0.0,1.0,6,61.0,0.23910528973089598,2,3.0,0.0029267552359389954,13,281.0
390.0,-3.0,29,0,12,126,155,0,78.0,2.689655172413793,2.9344288086913304,5,148.0,0.10769742069602688,0,2.0,0.798422304839571,7,84.0,0.11399416138819624,0,4.0,0.19609418835115747,12,238.0
395.0,-1.5,34,0,6,126,160,0,77.0,2.264705882352941,6.061363425343971,3,149.0,0.2970473657783561,0,2.0,0.8262091880423563,3,88.0,0.2837524006001957,0,0.0,1.0,6,239.0
400.0,-2.0,37,0,8,126,163,0,27.0,0.7297297297297297,6.228370200780123,5,132.0,0.21220899286079986,1,3.0,0.37824178436776007,2,73.0,0.4524102564415208,0,0.0,1.0,8,208.0
405.0,-3.0,33,0,12,130,163,0,68.0,2.0606060606060606,4.66786978882156,9,167.0,0.08045692920330819,0,2.0,0.41518049663365836,3,39.0,0.34742218196806357,0,2.0,0.892197917883936,12,210.0
410.0,-4.25,31,0,17,132,163,0,128.0,4.129032258064516,3.0997814481499066,12,226.0,0.0011299519360700122,0,0.0,0.36138621873308086,5,48.0,0.08233370744800693,0,2.0,0.918150879121762,17,276.0
415.0,-3.75,32,0,15,132,164,0,138.0,4.3125,3.9327508925146044,10,220.0,0.09336614278907893,0,0.0,1.0,4,38.0,0.09135688973124964,1,3.0,0.20141308587879858,15,261.0
420.0,-1.5,32,0,6,134,166,0,80.0,2.5,5.685112842731048,5,190.0,0.1797812197403579,0,2.0,0.8476722587537835,1,37.0,0.2540423661532973,0,1.0,0.4654320273466818,6,230.0
425.0,-2.25,31,0,9,137,168,0,95.0,3.064516129032258,6.800995898594344,6,215.0,0.2487643757902587,0,2.0,0.9429387721184979,3,32.0,0.22210761214212288,0,2.0,0.7972621974331777,9,251.0
430.0,-3.0,33,0,12,139,172,0,127.0,3.8484848484848486,5.59836818409331,9,255.0,0.21872824053633488,1,3.0,0.3770515843557327,1,21.0,0.3312017033288621,1,4.0,0.755752265155671,12,283.0
435.0,-4.5,35,0,18,141,176,0,201.0,5.742857142857143,4.9744334728906425,13,314.0,0.22137380646519098,3,15.0,0.24520466375037933,1,6.0,0.49426706794690023,1,1.0,0.41258320143033345,18,336.0
440.0,-4.75,36,0,19,142,178,0,256.0,7.111111111111111,4.099641085387141,12,341.0,0.1812191473757367,3,30.0,0.3470181698882473,1,11.0,0.014661947266431646,3,11.0,0.0010143726532273432,19,393.0
445.0,-3.5,37,0,14,145,182,0,229.0,6.1891891891891895,4.576089045977643,11,331.0,0.17363375123631125,1,27.0,0.6230828682395311,2,20.0,8.909489514067034e-05,0,12.0,0.1405056295961336,14,390.0
450.0,-2.25,37,0,9,147,184,0,94.0,2.5405405405405403,5.44360644495236,8,319.0,0.17336822875805608,1,8.0,0.6676522340196328,0,7.0,0.26781298948491833,0,0.0,1.0,9,334.0
455.0,-1.75,37,0,7,147,184,0,34.0,0.918918918918919,5.856875542336827,7,262.0,0.15592243824773744,0,2.0,0.29091950930418536,0,2.0,0.7944644132284561,0,2.0,0.8890930665146328,7,268.0
