step,reward,scaled_training_reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
225.0,-0.5,-9.200000000000001,180,0,0.0,178,0.9888888888888889,22,0,2,70,92,0,9.0,0.4090909090909091,7.235676532974948,2,24.0,0.06850666577523903,0,2.0,0.804038586779459,0,3.0,0.13794036849232474,0,7.0,0.2137492636998813,2,36.0
230.0,-0.5,-9.3,184,0,0.0,182,0.9891304347826086,17,0,2,75,92,0,4.0,0.23529411764705882,8.418010023717194,0,10.0,0.4477699020761615,2,6.0,0.23717533848517797,0,2.0,0.8403810426033212,0,2.0,0.8801982862444926,2,20.0
235.0,-1.0,-9.5,188,0,0.0,186,0.9893617021276596,18,0,4,76,94,0,13.0,0.7222222222222222,8.210000645706653,1,12.0,0.5020648435809474,3,14.0,0.054000109881366595,0,2.0,0.9630359905485623,0,2.0,0.8994980994511297,4,30.0
240.0,-1.5,-9.8,192,0,0.0,190,0.9895833333333334,19,0,6,78,97,0,39.0,2.0526315789473686,6.657521489343132,2,22.0,0.6023503658902837,3,28.0,0.23302212964231045,1,3.0,0.3324165739652741,0,4.0,0.5996835685490185,6,57.0
245.0,-1.25,-10.05,196,0,0.0,194,0.9897959183673469,20,0,5,78,98,0,31.0,1.55,5.355314546800319,2,32.0,0.3957900847529194,0,22.0,0.4441164731080469,0,0.0,0.42006712074865477,3,13.0,0.32115532368953503,5,67.0
250.0,-0.75,-10.200000000000001,200,0,0.0,198,0.99,22,0,3,78,100,0,10.0,0.45454545454545453,5.9914043228530325,2,24.0,0.3064274965367636,0,0.0,0.027931812123544637,0,0.0,0.9066691875795478,1,19.0,0.16642537798078436,3,43.0
255.0,-1.0,-10.400000000000002,204,0,0.0,202,0.9901960784313726,24,0,4,78,102,0,20.0,0.8333333333333334,9.433111262878553,1,10.0,0.6211342568583448,1,5.0,0.5000038469312171,0,2.0,0.9172919589815445,2,13.0,0.19435587499931517,4,30.0
260.0,-1.25,-10.65,208,0,0.0,206,0.9903846153846154,25,0,5,81,106,0,18.0,0.72,8.054257508410373,2,4.0,0.4310608082353222,1,10.0,0.565649019790805,1,3.0,0.766635980773112,1,14.0,0.10693768078494482,5,31.0
265.0,-1.5,-10.950000000000001,212,0,0.0,210,0.9905660377358491,22,0,6,85,107,0,48.0,2.1818181818181817,7.773211032768953,3,19.0,0.39093920324488285,1,17.0,0.7368733811254029,1,8.0,0.3907513313222229,1,14.0,0.0,6,58.0
270.0,-1.0,-11.149999999999999,216,0,0.0,214,0.9907407407407407,24,0,4,87,111,0,21.0,0.875,7.150462216130478,0,18.0,0.5525242298224472,0,2.0,0.6482082046383097,4,23.0,0.16497642728928974,0,0.0,1.0,4,43.0
275.0,-1.25,-11.399999999999997,220,0,0.0,218,0.990909090909091,25,0,5,89,114,0,31.0,1.24,7.2352921480495525,2,8.0,0.595100346519792,1,4.0,0.32013536188746344,2,35.0,0.35583647751213787,0,2.0,0.9177983599873843,5,49.0
280.0,-1.0,-11.599999999999996,224,0,0.0,222,0.9910714285714286,27,0,4,89,116,0,35.0,1.2962962962962963,8.075590629559626,0,7.0,0.5695912324851107,1,3.0,0.12191122976195577,3,36.0,0.5488164525034291,0,2.0,0.9346955803250075,4,48.0
285.0,-0.75,-11.749999999999996,228,0,0.0,226,0.9912280701754386,28,0,3,90,118,0,11.0,0.39285714285714285,7.6332600235727375,1,3.0,0.5551331672432595,1,8.0,0.6818975841599634,0,22.0,0.28559284957029696,1,4.0,0.2169332429584977,3,37.0
290.0,-1.0,-11.949999999999996,232,0,0.0,230,0.9913793103448276,29,0,4,92,121,0,11.0,0.3793103448275862,7.754077648567263,1,1.0,0.13799022847239983,0,2.0,0.8509248630997623,3,12.0,0.26111741708682296,0,2.0,0.5563373048578567,4,17.0
295.0,-1.0,-12.149999999999997,236,0,0.0,234,0.9915254237288136,27,0,4,94,121,0,15.0,0.5555555555555556,8.850904313225836,2,10.0,5.3775427206920426e-05,1,3.0,0.5154033092599819,1,18.0,0.5282634957877177,0,4.0,0.8729696117154303,4,35.0
