step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
210.0,-1.75,0,0,0,0.0,0.0,27,0,7,56,83,0,217.0,8.037037037037036,8.420265348880362,1,22.0,0.6557085751396163,3,96.0,0.24576102608949968,1,33.0,0.6325260358117442,2,66.0,0.44025778205789096,7,217.0
215.0,-1.75,0,0,0,0.0,0.0,23,0,7,60,83,0,252.0,10.956521739130435,7.246922660755817,1,27.0,0.5655469075769147,3,111.0,0.0,1,38.0,0.4568430201388919,2,76.0,0.31400153065803654,7,252.0
220.0,-2.75,0,0,0,0.0,0.0,22,0,11,63,85,0,300.0,13.636363636363637,4.449060463176619,2,36.0,0.36069726545182607,3,126.0,0.0,3,51.0,0.12924299274768836,3,87.0,0.2362180287443155,11,300.0
225.0,-3.5,0,0,0,0.0,0.0,21,0,14,65,86,0,365.0,17.38095238095238,3.352552037811728,4,53.0,0.4014954928323558,3,141.0,0.0,4,69.0,2.196452742365102e-06,3,102.0,0.09135281417148851,14,365.0
230.0,-1.25,0,0,0,0.0,0.0,23,0,5,68,91,0,48.0,2.0869565217391304,7.025623068213384,1,20.0,0.5288318687161028,0,45.0,0.7289666002505946,2,21.0,0.30913599022296423,2,13.0,0.22163989949551766,5,99.0
235.0,-1.5,0,0,0,0.0,0.0,25,0,6,68,93,0,75.0,3.0,10.086070090370953,2,21.0,0.5944966331726709,0,1.0,0.9502552413709162,2,31.0,0.315446226283979,2,24.0,0.45422316841813837,6,77.0
240.0,-1.5,0,0,0,0.0,0.0,27,0,6,69,96,0,105.0,3.888888888888889,9.67181434221386,2,31.0,0.5492978366509463,0,1.0,0.786453557998016,2,41.0,0.4759271447021125,2,34.0,0.5426913719394063,6,107.0
245.0,-2.0,0,0,0,0.0,0.0,25,0,8,73,98,0,141.0,5.64,8.322368833094995,2,41.0,0.3896950589469448,2,6.0,0.6496216137030009,2,51.0,0.4820390831850472,2,43.0,0.3241758373236611,8,141.0
250.0,-2.25,0,0,0,0.0,0.0,26,0,9,74,100,0,186.0,7.153846153846154,7.654239019964914,3,56.0,0.45855537091509707,2,16.0,0.34831094389862755,2,61.0,0.30591469521232656,2,53.0,0.3233440974972131,9,186.0
255.0,-2.75,0,0,0,0.0,0.0,24,0,11,77,101,0,239.0,9.958333333333334,7.017031949978921,4,74.0,0.311736462937886,3,31.0,0.23223523770595106,2,71.0,0.3333333333333333,2,63.0,0.3136496174033309,11,239.0
260.0,-2.75,0,0,0,0.0,0.0,21,0,11,81,102,0,294.0,14.0,6.126689645116768,4,94.0,0.29017807058424144,3,46.0,0.3777273701801306,2,81.0,0.32267322307624546,2,73.0,0.32148916866891614,11,294.0
265.0,-3.0,0,0,0,0.0,0.0,21,0,12,82,103,0,353.0,16.80952380952381,4.175919894612808,5,118.0,0.27759173893801836,3,61.0,0.13127829219985437,2,91.0,0.11187436009018277,2,83.0,0.20465099751567695,12,353.0
270.0,-4.0,0,0,0,0.0,0.0,21,0,16,85,106,0,425.0,20.238095238095237,2.386029805252472,5,143.0,0.31860116195849186,5,83.0,0.00010726765472208091,3,105.0,0.2500086303790882,3,94.0,0.0010921825393469845,16,425.0
275.0,-1.5,0,0,0,0.0,0.0,24,0,6,85,109,0,47.0,1.9583333333333333,6.154501088264252,2,67.0,0.4472422391551155,2,39.0,0.12992173397008824,1,9.0,0.552342290206462,1,6.0,0.34858305116332305,6,121.0
280.0,-1.25,0,0,0,0.0,0.0,25,0,5,85,110,0,71.0,2.84,8.477332197288394,1,20.0,0.5482984201240672,2,27.0,0.0,1,15.0,0.6461295886313038,1,12.0,0.7142346706247706,5,74.0
285.0,-1.75,0,0,0,0.0,0.0,27,0,7,85,112,0,101.0,3.740740740740741,8.542128191107393,2,27.0,0.5446251303371253,2,37.0,0.0,2,22.0,0.6638268658720132,1,17.0,0.5961496142291769,7,103.0
290.0,-2.0,0,0,0,0.0,0.0,25,0,8,89,114,0,137.0,5.48,7.997665622762468,3,38.0,0.32578430445300216,2,47.0,0.308865738746456,2,31.0,0.6569982660872437,1,21.0,0.0,8,137.0
295.0,-2.25,0,0,0,0.0,0.0,25,0,9,89,114,0,179.0,7.16,7.7312050689427405,4,55.0,0.00021665168233722445,2,57.0,0.33180773599012076,2,41.0,0.6139207777731824,1,26.0,0.0,9,179.0
300.0,-2.25,0,0,0,0.0,0.0,23,0,9,92,115,0,224.0,9.73913043478261,6.7817926962424755,4,75.0,0.0,2,67.0,0.0,2,51.0,0.5089021734111685,1,31.0,0.4859778274200468,9,224.0
305.0,-2.5,0,0,0,0.0,0.0,21,0,10,96,117,0,271.0,12.904761904761905,5.655536129844271,4,95.0,0.2,2,77.0,0.3333333333333333,3,63.0,0.2456464637678458,1,36.0,0.46728645191665813,10,271.0
310.0,-3.25,0,0,0,0.0,0.0,20,0,13,98,118,0,326.0,16.3,4.027073604325897,4,115.0,0.3039574097896391,2,87.0,0.323846709727916,6,83.0,0.0010580728423407362,1,41.0,0.27294846505648906,13,326.0
315.0,-3.5,0,0,0,0.0,0.0,18,0,14,100,118,0,393.0,21.833333333333332,2.207749778629155,4,135.0,0.2782704021355958,2,97.0,0.1125146421701877,6,113.0,0.0,2,48.0,0.00027668661715821245,14,393.0
320.0,-1.25,0,0,0,0.0,0.0,17,0,5,101,118,0,36.0,2.1176470588235294,4.4570067382827565,1,55.0,0.15087612313382703,1,3.0,0.39166027394806086,2,47.0,0.10757439274877102,1,7.0,0.28557294895977825,5,112.0
325.0,-1.5,0,0,0,0.0,0.0,19,0,6,101,120,0,65.0,3.4210526315789473,8.556360177345962,2,11.0,0.4230647653829934,1,9.0,0.7024764818397464,2,34.0,0.0,1,13.0,0.7181852664699044,6,67.0
330.0,-1.5,0,0,0,0.0,0.0,22,0,6,102,124,0,95.0,4.318181818181818,9.252997875351069,2,21.0,0.6262022087272908,1,14.0,0.7210557123491675,2,44.0,0.30827988083981384,1,18.0,0.7159421836472238,6,97.0
335.0,-1.5,0,0,0,0.0,0.0,20,0,6,104,124,0,125.0,6.25,7.8719861303033865,2,31.0,0.3707932500644273,1,18.0,0.5569648202218617,2,54.0,0.32110366673905383,1,22.0,0.49457353945563,6,125.0
340.0,-2.25,0,0,0,0.0,0.0,20,0,9,105,125,0,165.0,8.25,6.835590767643453,4,49.0,0.19358837385910294,2,25.0,0.31115815150553106,2,64.0,0.3124002502645497,1,27.0,0.4977087465374266,9,165.0
345.0,-2.25,0,0,0,0.0,0.0,21,0,9,107,128,0,210.0,10.0,7.414229576333942,4,69.0,0.18550477265048798,2,35.0,0.5818031680899061,2,74.0,0.48584883535684853,1,32.0,0.48973193107696533,9,210.0
350.0,-2.25,0,0,0,0.0,0.0,18,0,9,112,130,0,255.0,14.166666666666666,6.10445630658538,4,89.0,0.26411425684535406,2,45.0,0.38751085162030585,2,84.0,0.4755913824635487,1,37.0,0.4826563852773044,9,255.0
355.0,-3.25,0,0,0,0.0,0.0,21,0,13,112,133,0,310.0,14.761904761904763,4.277680049246802,5,111.0,0.3044309258213752,3,58.0,0.0052086939490100514,3,95.0,0.35507029112299443,2,46.0,0.3321531469499961,13,310.0
360.0,-4.25,0,0,0,0.0,0.0,22,0,17,113,135,0,384.0,17.454545454545453,2.192270996826603,6,138.0,0.13194540382924086,4,78.0,0.32718332471496697,4,111.0,0.11013206297010485,3,57.0,0.00026080395780821646,17,384.0
365.0,-2.0,0,0,0,0.0,0.0,25,0,8,113,138,0,61.0,2.44,5.318335433859054,2,75.0,0.2978264011010887,1,20.0,0.6133560407516532,3,20.0,0.1844811013484422,2,20.0,0.1872719810586336,8,135.0
