step,reward,pressure_fallback_actions,pressure_override_actions,total_agent_decisions,fallback_rate,override_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
265.0,-6.5,6,37,212,0.02830188679245283,0.17452830188679244,47,0,26,68,115,0,378.0,8.042553191489361,3.3897763998024626,5,124.0,0.25282888505936635,8,176.0,0.2211350571617488,6,207.0,0.22141458759938373,7,142.0,0.035447608290968685,26,649.0
270.0,-4.5,6,40,216,0.027777777777777776,0.18518518518518517,49,0,18,70,119,0,246.0,5.020408163265306,5.338082689530374,7,154.0,0.11831874241336574,5,141.0,0.2929411254743617,3,154.0,0.43585646102930214,3,112.0,0.34863833694755614,18,561.0
275.0,-3.25,6,41,220,0.02727272727272727,0.18636363636363637,48,0,13,71,119,0,160.0,3.3333333333333335,4.956472782912139,4,140.0,0.18102908829654304,0,99.0,0.2083447670266078,5,142.0,0.2699001550668024,4,131.0,0.36640701270287007,13,512.0
280.0,-5.0,6,41,224,0.026785714285714284,0.18303571428571427,45,0,20,75,120,0,163.0,3.6222222222222222,3.6177803047637385,1,52.0,0.35316791933048697,3,94.0,0.2909300229816597,8,178.0,0.010005496000786807,8,162.0,0.25059648767451176,20,486.0
285.0,-5.75,7,41,228,0.03070175438596491,0.17982456140350878,43,0,23,78,121,0,214.0,4.976744186046512,2.395054917714352,1,52.0,0.44581567473892403,6,119.0,0.24984848640611657,7,184.0,0.045888851540113546,9,187.0,0.06454099193867176,23,542.0
290.0,-6.75,7,41,232,0.03017241379310345,0.17672413793103448,45,0,27,78,123,0,323.0,7.177777777777778,3.8882458964469544,4,65.0,0.31726258197622526,8,159.0,0.255028909254124,7,151.0,0.11771783780124513,8,197.0,0.11897190188754736,27,572.0
295.0,-6.25,9,41,236,0.038135593220338986,0.17372881355932204,47,0,25,78,125,0,382.0,8.127659574468085,3.7889287818579875,4,85.0,0.41526126534642444,10,203.0,0.050838180862151236,7,186.0,0.009048425049174759,4,178.0,0.14784644867375327,25,652.0
300.0,-6.5,9,42,240,0.0375,0.175,46,0,26,82,128,0,395.0,8.58695652173913,3.8351967022486626,4,105.0,0.29467588574417736,10,214.0,0.1569547581671007,8,225.0,0.1871414791921246,4,122.0,0.11422815163889385,26,666.0
305.0,-5.0,9,44,244,0.036885245901639344,0.18032786885245902,44,0,20,84,128,0,258.0,5.863636363636363,4.067129895435238,6,130.0,0.11363042961156303,5,175.0,0.19406986293047487,5,200.0,0.22495908694380173,4,133.0,0.25687354473267543,20,638.0
310.0,-4.25,9,44,248,0.036290322580645164,0.1774193548387097,42,0,17,87,129,0,204.0,4.857142857142857,4.565317050643808,7,162.0,0.00014789799642552442,6,166.0,0.13602519847319242,1,129.0,0.36019286045358956,3,127.0,0.5438720163871362,17,584.0
315.0,-4.25,9,46,252,0.03571428571428571,0.18253968253968253,42,0,17,88,130,0,203.0,4.833333333333333,4.045084353345835,4,132.0,0.18963657703041026,8,203.0,0.019756171805315696,1,99.0,0.42045789904673375,4,134.0,0.3927152193665891,17,568.0
320.0,-4.75,9,46,256,0.03515625,0.1796875,43,0,19,89,132,0,211.0,4.906976744186046,3.6652161226584647,0,64.0,0.4946323682051868,8,215.0,0.23838674598873716,4,110.0,0.16273305688662093,7,163.0,0.045077065503831754,19,552.0
325.0,-5.75,9,47,260,0.03461538461538462,0.18076923076923077,45,0,23,90,135,0,282.0,6.266666666666667,4.114310826764964,2,67.0,0.3764454938743684,5,184.0,0.35201318740356835,4,96.0,0.18112865963533062,12,219.0,0.12493585263852784,23,566.0
330.0,-6.25,10,47,264,0.03787878787878788,0.17803030303030304,48,0,25,92,140,0,288.0,6.0,3.853983904847027,5,88.0,0.31666342424457783,6,174.0,0.20678695022892385,2,39.0,0.427386159763688,12,281.0,0.2263448445021717,25,582.0
335.0,-5.25,11,48,268,0.041044776119402986,0.1791044776119403,49,0,21,92,141,0,217.0,4.428571428571429,2.6155474020937812,4,108.0,0.13169890508250962,5,134.0,0.19562958390042937,1,37.0,0.2714466396975716,11,282.0,0.06987543803667917,21,561.0
340.0,-6.75,11,50,272,0.04044117647058824,0.18382352941176472,52,0,27,92,144,0,277.0,5.326923076923077,4.0794083717226775,5,128.0,0.3124697469877458,8,169.0,0.1717854375879875,4,43.0,0.3269416598958408,10,221.0,0.08195174635490922,27,561.0
345.0,-6.5,11,52,276,0.03985507246376811,0.18840579710144928,53,0,26,92,145,0,264.0,4.981132075471698,4.341374420886357,2,102.0,0.32326814264592435,12,219.0,0.11475619307167963,5,67.0,0.40162636179150246,7,226.0,0.1047099493720572,26,614.0
350.0,-5.0,11,52,280,0.039285714285714285,0.18571428571428572,49,0,20,99,148,0,218.0,4.448979591836735,4.378658019382638,0,38.0,0.25794001502034813,10,233.0,0.22568815651555627,5,90.0,0.38685288768573645,5,196.0,0.09957873187767186,20,557.0
355.0,-4.25,11,54,284,0.03873239436619718,0.19014084507042253,49,0,17,100,149,0,218.0,4.448979591836735,4.401019495741742,1,39.0,0.27339896081428033,9,220.0,0.21327571773913398,2,70.0,0.19170010785706457,5,197.0,0.16650337818172098,17,526.0
360.0,-4.5,11,55,288,0.03819444444444445,0.1909722222222222,47,0,18,103,150,0,161.0,3.425531914893617,5.011157958240117,3,51.0,0.37248743137903184,9,203.0,0.08929213495743758,2,39.0,0.314647991780013,4,173.0,0.30776128785930373,18,466.0
365.0,-4.0,12,56,292,0.0410958904109589,0.1917808219178082,45,0,16,106,151,0,99.0,2.2,4.848458595939386,3,66.0,0.3816853298706189,6,170.0,0.1010383391267548,2,42.0,0.3368941053004722,5,166.0,0.300562824157705,16,444.0
370.0,-3.75,13,56,296,0.04391891891891892,0.1891891891891892,45,0,15,110,155,0,103.0,2.2888888888888888,5.1967541405642494,3,81.0,0.43611521280199145,3,176.0,0.2551705573610869,4,60.0,0.32605139797927085,5,127.0,0.24507722868899368,15,444.0
375.0,-3.5,14,57,300,0.04666666666666667,0.19,47,0,14,111,158,0,130.0,2.765957446808511,5.277045567936705,3,96.0,0.3571878573527789,4,179.0,0.246488091108622,3,59.0,0.38548210873217015,4,99.0,0.14924807368782786,14,433.0
380.0,-5.0,14,57,304,0.046052631578947366,0.1875,46,0,20,114,160,0,187.0,4.065217391304348,4.69117670546481,3,111.0,0.38753385948129176,8,205.0,0.06601676606539617,5,80.0,0.2653804845734035,4,79.0,0.12075530365895709,20,475.0
385.0,-5.25,14,57,308,0.045454545454545456,0.18506493506493507,42,0,21,118,160,0,262.0,6.238095238095238,3.5610647035713665,3,126.0,0.23098105863624793,11,253.0,0.008001916135147093,4,95.0,0.283939604462915,3,73.0,0.1034587611829536,21,547.0
390.0,-5.25,14,58,312,0.04487179487179487,0.1858974358974359,38,0,21,123,161,0,303.0,7.973684210526316,4.39066559975174,3,141.0,0.0,10,264.0,0.023825979078648567,4,111.0,0.5142217415836239,4,70.0,0.16735920474847685,21,586.0
395.0,-3.25,14,59,316,0.04430379746835443,0.18670886075949367,38,0,13,125,163,0,224.0,5.894736842105263,5.530128293719341,3,156.0,0.25,5,207.0,0.1096639228570774,1,80.0,0.4591439375190072,4,86.0,0.2784282285184506,13,529.0
400.0,-2.75,14,60,320,0.04375,0.1875,36,0,11,129,165,0,216.0,6.0,5.978775014096024,3,171.0,0.37885061913864304,1,123.0,0.2691686740846774,2,19.0,0.2694394480217359,5,113.0,0.518023661669534,11,426.0
405.0,-3.5,14,60,324,0.043209876543209874,0.18518518518518517,36,0,14,131,167,0,247.0,6.861111111111111,4.120574109770291,4,187.0,0.05866638470424477,1,124.0,0.3822946210523123,3,31.0,0.11364656265544636,6,139.0,0.3683948155881916,14,481.0
410.0,-5.75,15,60,328,0.04573170731707317,0.18292682926829268,39,0,23,131,170,0,341.0,8.743589743589743,2.5283779592718294,5,211.0,0.16667365489310126,4,136.0,0.21485116687876468,4,39.0,0.18805310841138825,10,179.0,0.01844026589834172,23,565.0
415.0,-5.75,16,62,332,0.04819277108433735,0.18674698795180722,41,0,23,131,172,0,196.0,4.780487804878049,2.8396149652391696,2,144.0,0.34305844086412174,7,164.0,0.1095355553421496,3,45.0,0.24754982908968462,11,190.0,0.020385439184890133,23,543.0
420.0,-4.75,16,64,336,0.047619047619047616,0.19047619047619047,39,0,19,133,172,0,182.0,4.666666666666667,3.6897375067407747,0,21.0,0.3577458404253503,8,164.0,0.16817871905592657,4,61.0,0.0016412551981872807,7,161.0,0.09916052904348037,19,407.0
425.0,-3.75,16,65,340,0.047058823529411764,0.19117647058823528,42,0,15,134,176,0,152.0,3.619047619047619,4.919925402130766,2,24.0,0.2638908593946315,4,102.0,0.3102818082346572,4,81.0,0.32103288795264423,5,164.0,0.26604286834765256,15,371.0
430.0,-3.25,16,65,344,0.046511627906976744,0.18895348837209303,40,0,13,137,177,0,131.0,3.275,4.181072914210228,4,39.0,0.26125717481469096,1,112.0,0.22373340131879038,4,101.0,0.256802687589493,4,147.0,0.22112631168781072,13,399.0
435.0,-3.5,16,65,348,0.04597701149425287,0.1867816091954023,41,0,14,138,179,0,109.0,2.658536585365854,4.179806513550664,5,62.0,0.19424748109813753,3,121.0,0.23618355697243182,2,75.0,0.08079401138569056,4,150.0,0.14216180972489417,14,408.0
440.0,-4.0,16,66,352,0.045454545454545456,0.1875,43,0,16,139,182,0,127.0,2.953488372093023,4.559789843815063,3,60.0,0.3585700358331994,6,145.0,0.03895056628183185,0,20.0,0.45711840168407414,7,183.0,0.17718395440400045,16,408.0
445.0,-5.25,16,66,356,0.0449438202247191,0.1853932584269663,39,0,21,144,183,0,191.0,4.897435897435898,3.4572679268224373,0,26.0,0.4227408455086894,9,186.0,0.21209252595220437,1,22.0,0.21075217780982833,11,230.0,0.12482793352188763,21,464.0
450.0,-7.5,16,66,360,0.044444444444444446,0.18333333333333332,41,0,30,145,186,0,319.0,7.780487804878049,2.412556001128357,2,30.0,0.38398964412547104,11,237.0,0.23897145292037222,4,36.0,0.1378302431765262,13,289.0,0.0022628396953531587,30,592.0
455.0,-6.75,17,67,364,0.046703296703296704,0.18406593406593408,45,0,27,145,190,0,332.0,7.377777777777778,2.978766817767242,5,52.0,0.35149102875007715,10,243.0,0.1236777442968122,1,25.0,0.5528246342519548,11,318.0,0.017979930096307228,27,638.0
460.0,-4.0,17,70,368,0.04619565217391304,0.19021739130434784,48,0,16,145,193,0,253.0,5.270833333333333,5.056530273930533,2,50.0,0.466335022384742,7,198.0,0.09888255854365552,0,0.0,0.6689121658568711,7,301.0,0.3531825845439857,16,549.0
465.0,-3.5,17,72,372,0.0456989247311828,0.1935483870967742,53,0,14,145,198,0,131.0,2.4716981132075473,5.2602142422240385,1,24.0,0.6101251393365709,5,227.0,0.27714383895301775,2,4.0,0.49661723048156875,6,259.0,0.24486279798954816,14,514.0
470.0,-4.5,17,72,376,0.04521276595744681,0.19148936170212766,52,0,18,147,199,0,108.0,2.076923076923077,4.077912291003802,0,15.0,0.2725484425736319,8,258.0,0.25901057836172536,3,18.0,0.43485138391454964,7,150.0,0.06517922107227156,18,441.0
475.0,-5.25,17,73,380,0.04473684210526316,0.19210526315789472,56,0,21,148,204,0,163.0,2.9107142857142856,3.8679478239338962,2,20.0,0.46529432118542624,12,307.0,0.08433070010153036,3,23.0,0.3675243984220399,4,154.0,0.16003352688841277,21,504.0
480.0,-7.5,17,73,384,0.044270833333333336,0.19010416666666666,56,0,30,150,206,0,268.0,4.785714285714286,4.072945032928634,3,34.0,0.5187598063403034,19,388.0,0.0018610774142779787,5,46.0,0.4800192278692082,3,121.0,0.148942488710827,30,589.0
485.0,-9.0,18,74,388,0.04639175257731959,0.19072164948453607,56,0,36,152,208,0,383.0,6.839285714285714,2.4312085298578126,4,50.0,0.1575776667779022,17,435.0,0.06953717968671935,7,76.0,0.21561100183648785,8,150.0,0.02744189878321568,36,711.0
490.0,-10.25,18,74,392,0.04591836734693878,0.18877551020408162,54,0,41,155,209,0,501.0,9.277777777777779,1.7454357861304983,7,80.0,0.12426269935926318,12,419.0,0.08516679971331174,11,123.0,0.0826243714996269,11,204.0,0.16692548011427139,41,826.0
495.0,-8.25,18,76,396,0.045454545454545456,0.1919191919191919,55,0,33,156,211,0,561.0,10.2,1.991486559818453,7,115.0,0.0012484559119499724,9,429.0,0.11452491631434035,9,166.0,0.15997800564365156,8,216.0,0.20470295982897294,33,926.0
500.0,-8.25,18,78,400,0.045,0.195,58,0,33,156,214,0,635.0,10.948275862068966,2.8803624517822124,8,155.0,0.110148652558786,11,477.0,0.13094334235923158,8,191.0,0.15205670391600515,6,182.0,0.12813700531193542,33,1005.0
505.0,-8.25,18,80,404,0.04455445544554455,0.19801980198019803,60,0,33,156,216,0,602.0,10.033333333333333,2.5569120293190872,5,171.0,0.2065840865980787,15,545.0,0.06383366073561644,7,194.0,0.03748102859989471,6,174.0,0.03831690050318676,33,1084.0
510.0,-8.25,18,81,408,0.04411764705882353,0.19852941176470587,59,0,33,159,218,0,603.0,10.220338983050848,3.7418289819341437,6,174.0,0.24123211221737212,19,631.0,0.016151939747277244,4,158.0,0.30969663216800997,4,148.0,0.33208101063032824,33,1111.0
